[2021-05-01 14:10:43,198] [-1]  WARN {com.atomikos.icatch.config.UserTransactionServiceImp} - Using init file: /D:/Practicals/AF/ESB/ESB/wso2ei-6.6.0/wso2/lib/transactions.properties
[2021-05-01 14:10:43,822] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Starting read of logfile D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog1.log
[2021-05-01 14:10:43,822] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Done read of logfile
[2021-05-01 14:10:43,822] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog1.log
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING core version: 3.8.0
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_name = tm.out
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_count = 1
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.automatic_resource_registration = true
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.client_demarcation = false
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.threaded_2pc = false
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.serial_jta_transactions = true
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_dir = repository/data
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_log_level = INFO
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_actives = 50
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.checkpoint_interval = 500
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.enable_logging = true
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.output_dir = repository/logs
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_name = tmlog
[2021-05-01 14:10:43,843] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_limit = 1073741824
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_timeout = 8000000
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.tm_unique_name = 172.31.208.1.tm
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.factory.initial = com.sun.jndi.rmi.registry.RegistryContextFactory
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.provider.url = rmi://localhost:1099
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.service = com.atomikos.icatch.standalone.UserTransactionServiceFactory
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.force_shutdown_on_vm_exit = true
[2021-05-01 14:10:43,844] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.default_jta_timeout = 5000000
[2021-05-01 14:17:16,642] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Starting read of logfile D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog2.log
[2021-05-01 14:17:17,755] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Done read of logfile
[2021-05-01 14:17:17,756] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog2.log
[2021-05-01 14:17:17,789] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING core version: 3.8.0
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_name = tm.out
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_count = 1
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.automatic_resource_registration = true
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.client_demarcation = false
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.threaded_2pc = false
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.serial_jta_transactions = true
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_dir = repository/data
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_actives = 50
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_log_level = INFO
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.checkpoint_interval = 500
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.enable_logging = true
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.output_dir = repository/logs
[2021-05-01 14:17:17,790] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.log_base_name = tmlog
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.console_file_limit = 1073741824
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.max_timeout = 8000000
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.tm_unique_name = 172.19.64.1.tm
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.factory.initial = com.sun.jndi.rmi.registry.RegistryContextFactory
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING java.naming.provider.url = rmi://localhost:1099
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.service = com.atomikos.icatch.standalone.UserTransactionServiceFactory
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.force_shutdown_on_vm_exit = true
[2021-05-01 14:17:17,791] [-1]  INFO {com.atomikos.icatch.config.imp.AbstractUserTransactionService} - USING com.atomikos.icatch.default_jta_timeout = 5000000
[2021-05-01 14:17:38,963] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Logfile closed: D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog3.log
[2021-05-01 14:17:38,966] [-1]  INFO {com.atomikos.icatch.imp.thread.TaskManager} - THREADS: using JDK thread pooling...
[2021-05-01 14:31:18,591] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Starting read of logfile D:\Practicals\AF\ESB\ESB\wso2ei-6.6.0\repository\data\tmlog3.log
[2021-05-01 14:31:19,105] [-1]  INFO {com.atomikos.persistence.imp.FileLogStream} - Done read of logfile
