TID: [-1234] [2021-05-09 16:27:52,042]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:27:53,014]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:27:53,015]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:27:53,016]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
TID: [-1234] [2021-05-09 16:27:53,016]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:27:53,623]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:27:53,625]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:27:53,625]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
TID: [-1234] [2021-05-09 16:27:53,625]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:27:54,047]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:27:54,048]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-09 16:27:54,048]  INFO {API_LOGGER.delivery_API} - FaultHandler executing impl: org.apache.synapse.mediators.MediatorFaultHandler
TID: [-1234] [2021-05-09 16:27:54,048]  WARN {API_LOGGER.delivery_API} - Executing fault sequence mediator : org.apache.synapse.mediators.base.SequenceMediator
TID: [-1234] [2021-05-09 16:29:10,699]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-09 16:29:10,700]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
